Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Interaction_Rate,Activity_Level,Payment_Issue,High_Delay,Avg_Monthly_Spend,Customer_Value,Avg_Support_Calls,Support_Intensity,Age_Group,Recent_Activity
19.0,0,38.0,23.0,7.0,11.0,0,2,978.0,3.0,0.07894736842105263,874.0,0,0,25.736842105263158,37164.0,0.18421052631578946,161.0,Young,1
47.0,1,41.0,14.0,1.0,5.0,1,0,151.0,19.0,0.4634146341463415,574.0,0,0,3.682926829268293,6191.0,0.024390243902439025,14.0,Adult,0
24.0,1,44.0,13.0,5.0,4.0,1,1,669.0,13.0,0.29545454545454547,572.0,0,0,15.204545454545455,29436.0,0.11363636363636363,65.0,Young,0
42.0,1,15.0,16.0,2.0,14.0,1,2,262.0,16.0,1.0666666666666667,240.0,0,0,17.466666666666665,3930.0,0.13333333333333333,32.0,Adult,0
57.0,0,55.0,27.0,3.0,3.0,0,0,212.0,10.0,0.18181818181818182,1485.0,0,0,3.8545454545454545,11660.0,0.05454545454545454,81.0,Senior,0
39.0,0,43.0,2.0,4.0,15.0,0,1,577.0,6.0,0.13953488372093023,86.0,1,0,13.418604651162791,24811.0,0.09302325581395349,8.0,Adult,1
27.0,1,44.0,28.0,8.0,18.0,2,0,436.0,30.0,0.6818181818181818,1232.0,1,0,9.909090909090908,19184.0,0.18181818181818182,224.0,Young,0
27.0,0,52.0,8.0,7.0,3.0,2,1,434.0,19.0,0.36538461538461536,416.0,0,0,8.346153846153847,22568.0,0.1346153846153846,56.0,Young,0
59.0,1,26.0,21.0,0.0,10.0,1,1,822.0,17.0,0.6538461538461539,546.0,0,0,31.615384615384617,21372.0,0.0,0.0,Senior,0
21.0,1,2.0,21.0,7.0,22.0,0,0,435.0,21.0,10.5,42.0,1,0,217.5,870.0,3.5,147.0,Young,0
60.0,0,18.0,16.0,8.0,28.0,0,2,830.0,22.0,1.2222222222222223,288.0,1,0,46.111111111111114,14940.0,0.4444444444444444,128.0,Senior,0
65.0,0,29.0,29.0,0.0,5.0,1,0,857.0,18.0,0.6206896551724138,841.0,0,0,29.551724137931036,24853.0,0.0,0.0,Senior,0
35.0,0,38.0,20.0,6.0,2.0,1,0,574.0,19.0,0.5,760.0,0,0,15.105263157894736,21812.0,0.15789473684210525,120.0,Adult,0
18.0,1,37.0,15.0,8.0,6.0,1,1,800.0,29.0,0.7837837837837838,555.0,0,0,21.62162162162162,29600.0,0.21621621621621623,120.0,Young,0
56.0,0,59.0,5.0,10.0,27.0,2,2,424.0,2.0,0.03389830508474576,295.0,1,0,7.186440677966102,25016.0,0.1694915254237288,50.0,Senior,1
35.0,1,40.0,27.0,8.0,28.0,1,1,232.0,17.0,0.425,1080.0,1,0,5.8,9280.0,0.2,216.0,Adult,0
29.0,1,43.0,12.0,2.0,10.0,1,0,289.0,6.0,0.13953488372093023,516.0,0,0,6.72093023255814,12427.0,0.046511627906976744,24.0,Young,1
20.0,1,37.0,24.0,7.0,5.0,2,0,371.0,20.0,0.5405405405405406,888.0,0,0,10.027027027027026,13727.0,0.1891891891891892,168.0,Young,0
63.0,0,51.0,3.0,5.0,12.0,2,0,288.0,15.0,0.29411764705882354,153.0,0,0,5.647058823529412,14688.0,0.09803921568627451,15.0,Senior,0
22.0,0,39.0,8.0,2.0,4.0,2,0,939.0,21.0,0.5384615384615384,312.0,0,0,24.076923076923077,36621.0,0.05128205128205128,16.0,Young,0
25.0,0,53.0,2.0,10.0,13.0,0,2,336.0,13.0,0.24528301886792453,106.0,0,0,6.339622641509434,17808.0,0.18867924528301888,20.0,Young,0
28.0,1,24.0,24.0,8.0,6.0,2,1,572.0,28.0,1.1666666666666667,576.0,0,0,23.833333333333332,13728.0,0.3333333333333333,192.0,Young,0
51.0,1,30.0,4.0,10.0,29.0,1,1,770.0,23.0,0.7666666666666667,120.0,1,0,25.666666666666668,23100.0,0.3333333333333333,40.0,Senior,0
32.0,1,6.0,22.0,3.0,12.0,0,1,413.0,20.0,3.3333333333333335,132.0,0,0,68.83333333333333,2478.0,0.5,66.0,Adult,0
38.0,0,28.0,23.0,6.0,17.0,0,2,993.0,28.0,1.0,644.0,1,0,35.464285714285715,27804.0,0.21428571428571427,138.0,Adult,0
52.0,1,17.0,26.0,4.0,6.0,0,1,871.0,26.0,1.5294117647058822,442.0,0,0,51.23529411764706,14807.0,0.23529411764705882,104.0,Senior,0
37.0,1,30.0,30.0,7.0,13.0,0,2,929.0,13.0,0.43333333333333335,900.0,0,0,30.966666666666665,27870.0,0.23333333333333334,210.0,Adult,0
31.0,0,4.0,29.0,7.0,22.0,2,0,488.0,6.0,1.5,116.0,1,0,122.0,1952.0,1.75,203.0,Adult,1
30.0,1,24.0,7.0,6.0,13.0,2,0,874.0,3.0,0.125,168.0,0,0,36.416666666666664,20976.0,0.25,42.0,Young,1
23.0,0,26.0,21.0,7.0,24.0,0,2,988.0,20.0,0.7692307692307693,546.0,1,0,38.0,25688.0,0.2692307692307692,147.0,Young,0
35.0,1,37.0,11.0,7.0,13.0,2,1,631.0,7.0,0.1891891891891892,407.0,0,0,17.054054054054053,23347.0,0.1891891891891892,77.0,Adult,0
21.0,0,56.0,11.0,9.0,9.0,0,2,626.0,1.0,0.017857142857142856,616.0,0,0,11.178571428571429,35056.0,0.16071428571428573,99.0,Young,1
56.0,0,44.0,11.0,2.0,11.0,2,0,583.0,9.0,0.20454545454545456,484.0,0,0,13.25,25652.0,0.045454545454545456,22.0,Senior,0
53.0,0,18.0,21.0,1.0,23.0,0,2,717.0,15.0,0.8333333333333334,378.0,1,0,39.833333333333336,12906.0,0.05555555555555555,21.0,Senior,0
41.0,0,18.0,27.0,10.0,3.0,0,1,111.0,19.0,1.0555555555555556,486.0,0,0,6.166666666666667,1998.0,0.5555555555555556,270.0,Adult,0
33.0,1,6.0,12.0,7.0,29.0,2,2,869.0,10.0,1.6666666666666667,72.0,1,0,144.83333333333334,5214.0,1.1666666666666667,84.0,Adult,0
18.0,1,55.0,29.0,9.0,21.0,2,2,296.0,22.0,0.4,1595.0,1,0,5.381818181818182,16280.0,0.16363636363636364,261.0,Young,0
26.0,1,60.0,9.0,10.0,1.0,2,1,643.0,2.0,0.03333333333333333,540.0,0,0,10.716666666666667,38580.0,0.16666666666666666,90.0,Young,1
42.0,0,7.0,9.0,1.0,11.0,0,0,196.0,18.0,2.5714285714285716,63.0,0,0,28.0,1372.0,0.14285714285714285,9.0,Adult,0
36.0,1,2.0,15.0,3.0,29.0,1,1,501.0,4.0,2.0,30.0,1,0,250.5,1002.0,1.5,45.0,Adult,1
22.0,0,43.0,16.0,8.0,21.0,2,1,966.0,30.0,0.6976744186046512,688.0,1,0,22.46511627906977,41538.0,0.18604651162790697,128.0,Young,0
47.0,1,59.0,24.0,6.0,26.0,1,0,288.0,26.0,0.4406779661016949,1416.0,1,0,4.88135593220339,16992.0,0.1016949152542373,144.0,Adult,0
30.0,1,52.0,23.0,1.0,27.0,0,0,400.0,20.0,0.38461538461538464,1196.0,1,0,7.6923076923076925,20800.0,0.019230769230769232,23.0,Young,0
21.0,0,51.0,1.0,8.0,6.0,1,0,618.0,13.0,0.2549019607843137,51.0,0,0,12.117647058823529,31518.0,0.1568627450980392,8.0,Young,0
27.0,0,40.0,17.0,3.0,1.0,0,0,999.0,17.0,0.425,680.0,0,0,24.975,39960.0,0.075,51.0,Young,0
27.0,1,34.0,13.0,4.0,26.0,0,2,214.0,6.0,0.17647058823529413,442.0,1,0,6.294117647058823,7276.0,0.11764705882352941,52.0,Young,1
32.0,1,3.0,5.0,1.0,6.0,2,0,282.0,20.0,6.666666666666667,15.0,0,0,94.0,846.0,0.3333333333333333,5.0,Adult,0
44.0,0,43.0,1.0,8.0,28.0,2,1,548.0,28.0,0.6511627906976745,43.0,1,0,12.744186046511627,23564.0,0.18604651162790697,8.0,Adult,0
38.0,1,10.0,9.0,6.0,5.0,1,0,820.0,18.0,1.8,90.0,0,0,82.0,8200.0,0.6,54.0,Adult,0
34.0,0,5.0,18.0,3.0,29.0,1,2,575.0,10.0,2.0,90.0,1,0,115.0,2875.0,0.6,54.0,Adult,0
42.0,1,29.0,23.0,0.0,6.0,1,1,736.0,5.0,0.1724137931034483,667.0,0,0,25.379310344827587,21344.0,0.0,0.0,Adult,1
61.0,1,41.0,4.0,7.0,23.0,0,2,753.0,23.0,0.5609756097560976,164.0,1,0,18.365853658536587,30873.0,0.17073170731707318,28.0,Senior,0
22.0,1,45.0,13.0,5.0,16.0,0,2,538.0,26.0,0.5777777777777777,585.0,1,0,11.955555555555556,24210.0,0.1111111111111111,65.0,Young,0
59.0,0,53.0,13.0,0.0,4.0,2,2,688.0,14.0,0.2641509433962264,689.0,0,0,12.981132075471699,36464.0,0.0,0.0,Senior,0
53.0,1,54.0,18.0,10.0,0.0,0,1,679.0,1.0,0.018518518518518517,972.0,0,0,12.574074074074074,36666.0,0.18518518518518517,180.0,Senior,1
37.0,1,17.0,23.0,9.0,23.0,1,2,530.0,19.0,1.1176470588235294,391.0,1,0,31.176470588235293,9010.0,0.5294117647058824,207.0,Adult,0
65.0,0,33.0,28.0,9.0,22.0,1,1,383.0,17.0,0.5151515151515151,924.0,1,0,11.606060606060606,12639.0,0.2727272727272727,252.0,Senior,0
61.0,0,6.0,7.0,4.0,26.0,2,0,369.0,20.0,3.3333333333333335,42.0,1,0,61.5,2214.0,0.6666666666666666,28.0,Senior,0
40.0,0,58.0,8.0,2.0,10.0,0,1,760.0,28.0,0.4827586206896552,464.0,0,0,13.10344827586207,44080.0,0.034482758620689655,16.0,Adult,0
63.0,0,38.0,19.0,7.0,21.0,2,2,768.0,7.0,0.18421052631578946,722.0,1,0,20.210526315789473,29184.0,0.18421052631578946,133.0,Senior,0
19.0,1,53.0,3.0,6.0,17.0,2,1,808.0,19.0,0.3584905660377358,159.0,1,0,15.245283018867925,42824.0,0.11320754716981132,18.0,Young,0
45.0,0,25.0,4.0,8.0,13.0,1,2,681.0,26.0,1.04,100.0,0,0,27.24,17025.0,0.32,32.0,Adult,0
59.0,1,17.0,21.0,1.0,24.0,2,2,858.0,2.0,0.11764705882352941,357.0,1,0,50.470588235294116,14586.0,0.058823529411764705,21.0,Senior,1
55.0,0,54.0,2.0,5.0,0.0,2,1,159.0,29.0,0.5370370370370371,108.0,0,0,2.9444444444444446,8586.0,0.09259259259259259,10.0,Senior,0
44.0,1,13.0,12.0,7.0,7.0,2,1,624.0,15.0,1.1538461538461537,156.0,0,0,48.0,8112.0,0.5384615384615384,84.0,Adult,0
61.0,1,7.0,12.0,7.0,2.0,1,0,925.0,9.0,1.2857142857142858,84.0,0,0,132.14285714285714,6475.0,1.0,84.0,Senior,0
46.0,1,41.0,12.0,3.0,25.0,1,0,531.0,11.0,0.2682926829268293,492.0,1,0,12.951219512195122,21771.0,0.07317073170731707,36.0,Adult,0
22.0,1,45.0,17.0,3.0,28.0,0,2,769.0,3.0,0.06666666666666667,765.0,1,0,17.08888888888889,34605.0,0.06666666666666667,51.0,Young,1
46.0,0,47.0,4.0,5.0,10.0,2,0,299.0,5.0,0.10638297872340426,188.0,0,0,6.361702127659575,14053.0,0.10638297872340426,20.0,Adult,1
64.0,1,31.0,20.0,9.0,24.0,1,2,785.0,16.0,0.5161290322580645,620.0,1,0,25.322580645161292,24335.0,0.2903225806451613,180.0,Senior,0
28.0,0,22.0,16.0,1.0,7.0,2,1,389.0,16.0,0.7272727272727273,352.0,0,0,17.681818181818183,8558.0,0.045454545454545456,16.0,Young,0
35.0,0,19.0,28.0,4.0,28.0,0,2,507.0,5.0,0.2631578947368421,532.0,1,0,26.68421052631579,9633.0,0.21052631578947367,112.0,Adult,1
55.0,0,34.0,6.0,2.0,7.0,0,0,392.0,5.0,0.14705882352941177,204.0,0,0,11.529411764705882,13328.0,0.058823529411764705,12.0,Senior,1
35.0,1,3.0,17.0,6.0,23.0,0,0,392.0,7.0,2.3333333333333335,51.0,1,0,130.66666666666666,1176.0,2.0,102.0,Adult,0
45.0,0,23.0,4.0,5.0,1.0,1,2,699.0,12.0,0.5217391304347826,92.0,0,0,30.391304347826086,16077.0,0.21739130434782608,20.0,Adult,0
24.0,1,1.0,20.0,0.0,17.0,0,2,268.0,4.0,4.0,20.0,1,0,268.0,268.0,0.0,0.0,Young,1
44.0,0,8.0,11.0,7.0,26.0,1,1,139.0,3.0,0.375,88.0,1,0,17.375,1112.0,0.875,77.0,Adult,1
60.0,1,55.0,7.0,3.0,18.0,2,1,871.0,4.0,0.07272727272727272,385.0,1,0,15.836363636363636,47905.0,0.05454545454545454,21.0,Senior,1
40.0,0,46.0,24.0,3.0,1.0,0,1,404.0,28.0,0.6086956521739131,1104.0,0,0,8.782608695652174,18584.0,0.06521739130434782,72.0,Adult,0
26.0,1,15.0,11.0,0.0,20.0,0,0,269.0,1.0,0.06666666666666667,165.0,1,0,17.933333333333334,4035.0,0.0,0.0,Young,1
58.0,0,28.0,17.0,0.0,24.0,1,2,820.0,29.0,1.0357142857142858,476.0,1,0,29.285714285714285,22960.0,0.0,0.0,Senior,0
56.0,0,16.0,11.0,5.0,18.0,1,1,590.0,27.0,1.6875,176.0,1,0,36.875,9440.0,0.3125,55.0,Senior,0
42.0,0,12.0,6.0,8.0,25.0,0,1,566.0,11.0,0.9166666666666666,72.0,1,0,47.166666666666664,6792.0,0.6666666666666666,48.0,Adult,0
52.0,1,29.0,2.0,2.0,4.0,0,0,435.0,27.0,0.9310344827586207,58.0,0,0,15.0,12615.0,0.06896551724137931,4.0,Senior,0
